id;area_cd;area_desc;lst_mtn_usr;lst_mtn_dt
1;turquoise Bedfordshire;vortals 台灣省 e-tailers;calculate architectures upward-trending;2023-03-16
2;Card;granular turn-key;Compatible 台灣省;2023-03-16
3;SMTP collaborative;compelling haptic 福建省;challenge background;2023-03-16
4;hacking FTP;Dynamic Angola;withdrawal Multi-layered;2023-03-16
5;generation Fresh local;Loan Fresh;Auto;2023-03-16
6;Sleek Chicken;metrics;Home bus salmon;2023-03-16
7;program indigo Upgradable;Group Awesome;Savings Wooden Christmas;2023-03-15
8;Horizontal;Incredible Re-engineered;Coordinator Centralized;2023-03-15
9;withdrawal;bus;Polarised process grey;2023-03-16
10;dot-com Tactics proactive;interfaces;Executive Operations front-end;2023-03-16
