id;cerf_no;cerf_ver;prod_id;prod_nm_ch
1;Hat Orchestrator;Berkshire Sausages;Generic;index orange
2;SCSI;Reduced;payment;input Legacy
3;transmitting Analyst;navigating compress;台灣省 payment Developer;Agent Granite productivity
4;bypass Granite Cambridgeshire;Fresh calculating;one-to-one Future-proofed;navigate invoice revolutionize
5;back-end;green Electronics;cohesive;back-end Jewelery
6;revolutionize RSS Dynamic;world-class PCI;Senior Visionary overriding;Programmable
7;SDD quantifying;tan navigate Assistant;Pizza;Quetzal invoice 街
8;copy orange;Liaison;array copy Steel;matrix Human Cambridgeshire
9;台灣省 monitor;Bedfordshire strategize;福建省 open-source Barbados;Salad generate
10;eyeballs Music New;Sudan Bedfordshire;Chief Response withdrawal;haptic Somoni
