id;cerf_no;cerf_ver;std_no;std_ver
1;台灣省;Metal Designer multi-state;街 functionalities bleeding-edge;Account Officer turquoise
2;Computers;Home drive;TCP;Soft GB SSL
3;Architect Electronics;Savings e-services SMS;bypass violet;partnerships Ireland drive
4;leverage;Object-based circuit;Albania input mindshare;Synergized Wooden Bedfordshire
5;Chips dot-com;asynchronous Toys sexy;haptic SDD Automotive;Operations
6;generation;multi-byte Director;Corporate Automated Industrial;Fresh
7;Mobility;Compatible;東路 deposit Practical;red Pizza
8;sensor deposit;defect initiative;Regional;experiences Producer
9;Uzbekistan Tactics;Frozen Fresh bandwidth;Generic Concrete up;grey
10;needs-based Investor User-centric;target 東路 granular;Aruba multi-byte 東路;Steel clicks-and-mortar
