id;cerf_no;cerf_ver;fee_dt;fee_desc;fee;msg_01
1;(E.M.U.-6);withdrawal 東路 radical;2023-03-20;../fake-data/blob/hipster.txt;54618;../fake-data/blob/hipster.txt
2;Buckinghamshire;北路;2023-03-20;../fake-data/blob/hipster.txt;16001;../fake-data/blob/hipster.txt
3;Avon empower;Table hack invoice;2023-03-21;../fake-data/blob/hipster.txt;55796;../fake-data/blob/hipster.txt
4;evolve Sudan programming;Berkshire task-force;2023-03-20;../fake-data/blob/hipster.txt;80424;../fake-data/blob/hipster.txt
5;program 福建省;Factors Internal Niger;2023-03-20;../fake-data/blob/hipster.txt;82646;../fake-data/blob/hipster.txt
6;blue connect;Kuwaiti;2023-03-20;../fake-data/blob/hipster.txt;18465;../fake-data/blob/hipster.txt
7;福建省 Licensed;navigating value-added;2023-03-20;../fake-data/blob/hipster.txt;38154;../fake-data/blob/hipster.txt
8;Dalasi TCP;Account;2023-03-20;../fake-data/blob/hipster.txt;6768;../fake-data/blob/hipster.txt
9;scalable Computers Handmade;XML;2023-03-20;../fake-data/blob/hipster.txt;50540;../fake-data/blob/hipster.txt
10;B2B;Cotton;2023-03-20;../fake-data/blob/hipster.txt;26944;../fake-data/blob/hipster.txt
