id;fee_cd;fee_desc;lst_mtn_usr;lst_mtn_dt
1;pixel Granite compressing;../fake-data/blob/hipster.txt;mobile 台灣省 Outdoors;2023-03-15
2;Architect teal Gorgeous;../fake-data/blob/hipster.txt;bi-directional;2023-03-16
3;Garden Dobra Factors;../fake-data/blob/hipster.txt;Plastic pixel bypassing;2023-03-15
4;ivory;../fake-data/blob/hipster.txt;invoice Supervisor interfaces;2023-03-16
5;responsive;../fake-data/blob/hipster.txt;Sausages protocol;2023-03-15
6;deliver Berkshire haptic;../fake-data/blob/hipster.txt;Bedfordshire 街 Buckinghamshire;2023-03-15
7;magnetic;../fake-data/blob/hipster.txt;niches 台灣省 architecture;2023-03-15
8;quantifying convergence;../fake-data/blob/hipster.txt;dot-com;2023-03-16
9;Fresh;../fake-data/blob/hipster.txt;Executive Handmade navigating;2023-03-15
10;Tasty;../fake-data/blob/hipster.txt;protocol Supervisor olive;2023-03-16
