id;fcty_id;fee_cd;fee_dt;fee;curr;lst_mtn_usr;lst_mtn_dt
1;CSS upward-trending Buckinghamshire;quantify;2023-03-15;64671;Suriname port;function Awesome 福建省;2023-03-15
2;Markets Future Music;Gourde;2023-03-16;7951;paradigms;Concrete platforms;2023-03-16
3;Streamlined;Berkshire 南路 functionalities;2023-03-15;29569;Customer Table;Chips Implementation;2023-03-16
4;indexing drive;Antillian Future invoice;2023-03-16;76061;haptic;Metal Fresh Bedfordshire;2023-03-16
5;cutting-edge Dynamic;Tala Computer Home;2023-03-16;33774;COM Digitized;withdrawal incentivize Salad;2023-03-15
6;Sleek withdrawal vertical;strategize;2023-03-16;88156;Customizable;Fantastic;2023-03-16
7;Wooden;Gorgeous;2023-03-16;97234;IB Franc;Shoes;2023-03-15
8;Cotton cyan Sausages;channels Technician;2023-03-16;95244;capacitor;seamless Plastic 東路;2023-03-16
9;facilitate enhance;Granite Granite;2023-03-16;72525;Ergonomic quantify;portals Communications;2023-03-15
10;街 Down-sized scalable;Bacon Shoes;2023-03-16;71383;Orchestrator;Open-source matrix;2023-03-16
