id;prod_id;mnfctr_id;fcty_id;inspect_dt;discontinue_fg;discontinue_desc;lst_mtn_usr;lst_mtn_dt
1;Awesome;Keyboard;extranet Refined;2023-03-15;disintermediate Outdoors;override indexing primary;PCI;2023-03-16
2;optical;Small;Dynamic clicks-and-mortar;2023-03-15;pixel Market;Movies;payment payment 南路;2023-03-16
3;synthesizing SDD;Visionary;Towels;2023-03-15;Bedfordshire SDD;Hungary;Keyboard;2023-03-15
4;Armenia Berkshire;overriding Hat;福建省;2023-03-16;invoice;model;台灣省 New Persistent;2023-03-15
5;Sports;Avon;Dirham;2023-03-15;frictionless;Dollar expedite bandwidth;Applications;2023-03-16
6;Botswana Chicken Metal;Orchestrator navigate;Fully-configurable Facilitator;2023-03-15;panel copy grey;Central Soft compressing;innovate RAM;2023-03-16
7;Account European Savings;hybrid methodologies;南路 Platinum;2023-03-16;Kroon Bedfordshire;Engineer project Birr;indexing;2023-03-16
8;Executive Guatemala solution-oriented;Serbia Soft;Books orange Marketing;2023-03-15;台灣省 payment;generate bandwidth;Human;2023-03-16
9;Pizza web-readiness;Brand Bahraini Engineer;Interactions pink;2023-03-15;interface matrices;Buckinghamshire;monitor Computers;2023-03-15
10;Account;monetize 路 Principal;extend Synergized grey;2023-03-16;Phased;Cambridgeshire Administrator Table;Jewelery Industrial;2023-03-16
