id;prod_id;mnfctr_id;std_no;std_ver;sts_cd;lst_mtn_usr;lst_mtn_dt
1;Franc Dinar;Intelligent Optimized;Administrator SSL;Planner;cross-platform Director;Buckinghamshire Fish Books;2023-03-15
2;Pants Enhanced;Personal connect Robust;Configurable;SDD withdrawal;Reverse-engineered International;Awesome red;2023-03-15
3;Vanuatu;project Concrete pixel;up deposit upward-trending;Toys dedicated;Web throughput;EXE Chips;2023-03-15
4;Account Cambridgeshire;Borders;invoice;Pitcairn;Salad Convertible Lead;Soft yellow Cambridgeshire;2023-03-16
5;Configuration holistic Visionary;Berkshire;USB THX Account;Industrial Cambridgeshire;Streamlined backing;web-enabled Future;2023-03-16
6;markets AI;Mouse Specialist online;Directives Cross-group 西路;西路 Rubber;withdrawal Franc;invoice architectures gold;2023-03-16
7;台灣省 Azerbaijanian;dedicated calculate;digital Market Steel;Baby;sexy;communities;2023-03-16
8;navigating Savings SAS;Function-based 台灣省 implement;reboot Automotive;index;Function-based;hacking;2023-03-16
9;fuchsia;Buckinghamshire 南路 embrace;Cambridgeshire;Account;indigo unleash Investor;Integrated Platinum;2023-03-16
10;Wooden frictionless;firmware;Reduced;Nakfa Tasty;transform Baby European;Yemeni;2023-03-15
