id;sts_cd;sts_desc;lst_mtn_usr;lst_mtn_dt
1;platforms deposit;../fake-data/blob/hipster.txt;Usability;2023-03-16
2;東路 utilize;../fake-data/blob/hipster.txt;Decentralized;2023-03-16
3;capacitor;../fake-data/blob/hipster.txt;Somali Corporate functionalities;2023-03-16
4;synthesize Gorgeous;../fake-data/blob/hipster.txt;台灣省 Developer;2023-03-15
5;challenge;../fake-data/blob/hipster.txt;mission-critical;2023-03-15
6;Industrial withdrawal;../fake-data/blob/hipster.txt;monitor Practical;2023-03-16
7;Shoes;../fake-data/blob/hipster.txt;Peso;2023-03-15
8;Guernsey Clothing;../fake-data/blob/hipster.txt;Salad Rustic Proactive;2023-03-15
9;福建省;../fake-data/blob/hipster.txt;Peso well-modulated tan;2023-03-15
10;福建省;../fake-data/blob/hipster.txt;Tajikistan 南路;2023-03-15
