id;cerf_id;country_ch_name;cerf_no;cerf_ver;cerf_status;country_id;prod_no;prod_ch_name
1;61106;invoice Strategist models;台灣省 object-oriented tangible;Tasty synthesizing dynamic;Caicos transmitter Global;14480;台灣省;wireless Market
2;63140;brand copy Chief;Practical International 路;quantifying;Borders azure;98223;福建省 calculating 台灣省;Accounts Buckinghamshire
3;83360;Ergonomic virtual Fresh;envisioneer indexing Berkshire;SAS copy Horizontal;solution;97621;JSON;standardization Principal Polarised
4;42130;Steel;Bhutan Uzbekistan De-engineered;solid Re-engineered;Chief Soft Practical;87398;e-business;AGP Infrastructure
5;32867;Configurable Car 1080p;transmit program ability;bypassing orange;Cross-platform;59768;syndicate;teal primary parse
6;66392;methodical Chips Concrete;Berkshire;orchid secured Branding;THX Paraguay;44535;EXE District;innovate cross-platform
7;69595;invoice;red teal open;Sports bluetooth navigating;client-driven;33141;Integration e-commerce;Tanzania Account
8;88523;Pizza Sleek Rubber;leverage Market;frame Small;yellow redundant Tenge;64942;synthesize Pizza 街;visionary pink
9;49504;stable Metal digital;1080p pixel;台灣省;Regional deposit program;21740;Iran drive empower;Loan dot-com
10;56683;Beauty holistic;Cambridgeshire Director Falkland;Account;Direct;49750;time-frame;(Slovak mesh
