id;cerf_id;country_ch_name;cerf_no;cerf_ver;cerf_status;company_ch_name;rel_type
1;56135;cross-media Buckinghamshire Extended;killer;invoice 福建省;Paradigm Computers;connect;Cambridgeshire Automated
2;88191;東路;AI;Plastic bypass Loan;Handmade transmitter;Dinar port 福建省;Investment cultivate
3;29506;Markets 台灣省;Chips;Kyat;Account alarm;Ergonomic;東路 systemic
4;57346;Associate Regional;台灣省 福建省;Open-architected;Branding;Borders;olive local USB
5;11604;unleash;Loan;Keyboard network Sports;Licensed 街 benchmark;online;福建省 Micronesia
6;98013;Rupee benchmark red;Buckinghamshire;auxiliary;redundant 24/365;parsing e-business;sensor solutions
7;20232;Table action-items;overriding;Configuration Cotton;Chief;array copying;PCI scale
8;10163;USB empowering superstructure;Account;deposit Cambridgeshire;福建省 南路;Pizza architectures Marketing;up
9;16166;街;Quality Markets Gorgeous;Managed Computers Keyboard;action-items Pants 台灣省;mission-critical Fish Designer;Guernsey Object-based
10;24152;街 路 Electronics;Buckinghamshire;Movies;Sleek;array e-commerce copy;Tunisia
